Movie,Genre,IMDb Rating
The Shawshank Redemption,Drama,9.3
The Godfather,Crime,9.2
The Dark Knight,Action,9.1
The Godfather Part II,Crime,9.0
12 Angry Men,Drama,9.0
The Lord of the Rings: The Return of the King,Fantasy,9.0
Schindler's List,Biography,9.0
The Lord of the Rings: The Fellowship of the Ring,Fantasy,8.9
Pulp Fiction,Crime,8.8
"The Good, the Bad and the Ugly",Western,8.8
The Lord of the Rings: The Two Towers,Fantasy,8.8
Forrest Gump,Drama,8.8
Fight Club,Drama,8.8
Inception,Sci-Fi,8.8
Star Wars: Episode V - The Empire Strikes Back,Sci-Fi,8.7
The Matrix,Sci-Fi,8.7
GoodFellas,Drama,8.7
Interstellar,Sci-Fi,8.7
One Flew Over the Cuckoo's Nest,Drama,8.6
Seven,Drama,8.6
It's a Wonderful Life,Drama,8.6
The Silence of the Lambs,Thriller,8.6
Seven Samurai,Drama,8.6
Saving Private Ryan,War,8.6
The Green Mile,Drama,8.6
City of God,Crime,8.6
Life Is Beautiful,Comedy,8.6
Terminator 2: Judgment Day,Action,8.6
Star Wars: Episode IV - A New Hope,Sci-Fi,8.6
Back to the Future,Sci-Fi,8.5
Spirited Away,Animation,8.6
The Pianist,Biography,8.5
Gladiator,Action,8.5
Parasite,Thriller,8.5
Grave of the Fireflies,Animation,8.5
Psycho,Drama,8.5
The Lion King,Animation,8.5
Harakiri,Drama,8.6
The Departed,Crime,8.5
Whiplash,Drama,8.5
Kill Bill: The Whole Bloody Affair,Drama,8.8
The Prestige,Mystery,8.5
American History X,Drama,8.5
Leon,Drama,8.5
Spider-Man: Across the Spider-Verse,Animation,8.5
Cinema Paradiso,Drama,8.5
Casablanca,Romance,8.5
Untouchable,Drama,8.5
The Usual Suspects,Crime,8.5
Alien,Horror,8.5
Django Unchained,Western,8.5
Rear Window,Drama,8.5
Modern Times,Comedy,8.5
Once Upon a Time in the West,Western,8.5
City Lights,Comedy,8.5
Apocalypse Now,War,8.4
WALL·E,Animation,8.4
Memento,Mystery,8.4
Dune: Part Two,Sci-Fi,8.4
Raiders of the Lost Ark,Adventure,8.4
Avengers: Infinity War,Drama,8.4
The Lives of Others,Drama,8.4
Spider-Man: Into the Spider-Verse,Animation,8.4
Sunset Boulevard,Drama,8.4
Witness for the Prosecution,Mystery,8.4
Paths of Glory,War,8.4
The Shining,Horror,8.4
The Great Dictator,Comedy,8.4
Inglourious Basterds,War,8.4
12th Fail,Drama,8.7
Aliens,Action,8.4
High and Low,Drama,8.4
Good Will Hunting,Drama,8.4
Avengers: Endgame,Action,8.4
The Dark Knight Rises,Action,8.4
Coco,Animation,8.4
Amadeus,Biography,8.4
Project Hail Mary,Drama,8.4
Toy Story,Animation,8.3
Your Name.,Animation,8.4
Das Boot,War,8.3
Oldboy,Thriller,8.3
Braveheart,History,8.3
Princess Mononoke,Animation,8.3
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,Drama,8.3
3 Idiots,Comedy,8.4
American Beauty,Drama,8.3
Capernaum,Drama,8.4
Singin' in the Rain,Musical,8.3
Joker,Drama,8.3
Once Upon a Time in America,Crime,8.3
Come and See,War,8.3
Star Wars: Episode VI - Return of the Jedi,Sci-Fi,8.3
Requiem for a Dream,Drama,8.3
Toy Story 3,Animation,8.3
Ikiru,Drama,8.3
The Hunt,Drama,8.3
Incendies,Drama,8.3
Eternal Sunshine of the Spotless Mind,Romance,8.3
The Apartment,Comedy,8.3
Lawrence of Arabia,History,8.3
Heat,Crime,8.3
2001: A Space Odyssey,Sci-Fi,8.3
Scarface,Crime,8.3
Reservoir Dogs,Crime,8.3
Up,Animation,8.3
Double Indemnity,Crime,8.3
North by Northwest,Mystery,8.3
Like Stars on Earth,Drama,8.3
Full Metal Jacket,War,8.2
M,Crime,8.3
Amélie,Romance,8.3
Vertigo,Mystery,8.2
Citizen Kane,Drama,8.2
A Separation,Drama,8.3
Die Hard,Action,8.2
To Kill a Mockingbird,Drama,8.2
Indiana Jones and the Last Crusade,Drama,8.2
The Sting,Crime,8.2
A Clockwork Orange,Drama,8.2
Metropolis,Drama,8.2
1917,War,8.2
Snatch,Drama,8.2
The Wolf of Wall Street,Biography,8.2
L.A. Confidential,Crime,8.2
Downfall,Drama,8.2
Dangal,Biography,8.3
The Truman Show,Drama,8.2
Bicycle Thieves,Drama,8.2
Green Book,Biography,8.2
Oppenheimer,Biography,8.2
Shutter Island,Mystery,8.2
Judgment at Nuremberg,Drama,8.3
Batman Begins,Action,8.2
Hamilton,Drama,8.3
For a Few Dollars More,Drama,8.2
Taxi Driver,Crime,8.2
Jurassic Park,Adventure,8.2
Some Like It Hot,Drama,8.2
There Will Be Blood,Drama,8.2
The Father,Drama,8.2
The Kid,Drama,8.2
All About Eve,Drama,8.2
I Swear,Drama,8.4
The Sixth Sense,Thriller,8.2
Ran,Drama,8.2
Casino,Drama,8.2
No Country for Old Men,Crime,8.2
The Thing,Drama,8.2
Prisoners,Thriller,8.2
Top Gun: Maverick,Action,8.2
Kill Bill: Vol. 1,Action,8.2
Pan's Labyrinth,Drama,8.2
Unforgiven,Drama,8.2
A Beautiful Mind,Biography,8.2
The Treasure of the Sierra Madre,Drama,8.2
Howl's Moving Castle,Animation,8.2
Finding Nemo,Animation,8.2
Klaus,Animation,8.2
Yojimbo,Drama,8.2
The Great Escape,War,8.2
The Elephant Man,Drama,8.2
Monty Python and the Holy Grail,Comedy,8.2
Dial M for Murder,Drama,8.1
Demon Slayer: Kimetsu No Yaiba Infinity Castle,Drama,8.4
The Best of Youth,Drama,8.4
The Secret in Their Eyes,Crime,8.2
Gone with the Wind,Drama,8.2
Chinatown,Drama,8.1
"Lock, Stock and Two Smoking Barrels",Drama,8.1
V for Vendetta,Action,8.1
Catch Me If You Can,Biography,8.1
Inside Out,Animation,8.1
Rashomon,Drama,8.1
"Three Billboards Outside Ebbing, Missouri",Drama,8.1
Trainspotting,Drama,8.1
The Bridge on the River Kwai,Drama,8.1
Harry Potter and the Deathly Hallows: Part 2,Drama,8.1
Dead Poets Society,Drama,8.1
The Wild Robot,Animation,8.2
Warrior,Sport,8.1
Barry Lyndon,Drama,8.1
Fargo,Crime,8.1
Ben-Hur,Drama,8.1
Raging Bull,Drama,8.1
Million Dollar Baby,Sport,8.1
Mad Max: Fury Road,Action,8.1
Hacksaw Ridge,War,8.1
Children of Heaven,Drama,8.2
My Neighbour Totoro,Drama,8.1
Gran Torino,Drama,8.1
Ratatouille,Animation,8.1
12 Years a Slave,Drama,8.1
The Chaos Class Failed the Class,Drama,8.4
The Grand Budapest Hotel,Comedy,8.1
Before Sunrise,Romance,8.1
Memories of Murder,Drama,8.1
Blade Runner,Drama,8.1
How to Train Your Dragon,Animation,8.1
Spider-Man: No Way Home,Drama,8.1
Gone Girl,Mystery,8.1
"Monsters, Inc.",Drama,8.1
Jaws,Thriller,8.1
In the Name of the Father,Drama,8.1
Le Mans '66,Drama,8.1
Wild Tales,Drama,8.1
The Gold Rush,Drama,8.1
Mary and Max,Drama,8.1
Sherlock Jr.,Drama,8.1
The Deer Hunter,War,8.1
The Wages of Fear,Drama,8.1
The General,Drama,8.1
Logan,Action,8.1
Rocky,Sport,8.1
